system:index,FloodClass,FloodRisk,NDWI,elevation,slope,.geo
1108,1,0.0988062881660019,-0.1638051,9,2.114558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17064860280664,24.229179359485343]}"
1109,1,0.07067467057739084,-0.21131805,11,2.0333152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17145708656233,24.229179359485343]}"
1110,1,0.031235605353252427,-0.3775288,10,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17307405407377,24.229179359485343]}"
1111,1,-0.012294203949739527,-0.3772558,11,2.0333152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17496051617042,24.229179359485343]}"
1112,0,-0.11422202366787115,-0.6253954,8,1.3762164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.18008091328988,24.229179359485343]}"
1113,0,-0.10247310269878643,-0.6569462,8,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.18035040787515,24.229179359485343]}"
1114,0,-0.08558979543354919,-0.5465005,14,1.0169778,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.18762676167648,24.229179359485343]}"
1115,0,-0.09266519957723257,-0.4959978,18,2.0333152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.19032170752888,24.229179359485343]}"
1116,0,-0.10485109811621485,-0.6006058,12,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.19247766421074,24.229179359485343]}"
1117,0,-0.16160090075832975,-0.68302846,11,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.19490311547787,24.229179359485343]}"
1118,0,-0.19525545542568779,-0.69657594,12,3.0483742,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.19678957757452,24.229179359485343]}"
1119,1,-0.019064937493861726,-0.39795652,11,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.19786755591548,24.229179359485343]}"
1120,1,0.02975113086364508,-0.26810175,9,2.9598994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.19975401801213,24.229179359485343]}"
1121,0,-0.09592487195632443,-0.57680106,10,1.3762164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20029300718261,24.229179359485343]}"
1122,0,-0.10436904244526624,-0.5816894,12,1.3762164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20137098552351,24.229179359485343]}"
1123,0,-0.139179976791502,-0.62502736,12,2.0333152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20190997469399,24.229179359485343]}"
1124,0,-0.12905194914261106,-0.58807003,10,2.7508469,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20244896386447,24.229179359485343]}"
