NDWI,FloodRisk
-0.232,0.05
-0.249,0.051
-0.238,0.084
-0.239,0.067
-0.233,0.046
-0.533,-0.077
-0.525,-0.082
-0.499,-0.067
-0.387,0.011
-0.289,0.02
-0.452,-0.051
-0.528,-0.062
-0.658,-0.163
-0.722,-0.162
-0.711,-0.173
-0.572,-0.096
-0.245,0.079
-0.25,0.037
-0.313,0.043
-0.274,0.039
-0.22,0.083
-0.237,0.074
-0.364,0.004
-0.226,0.076
-0.19,0.077
-0.386,-0.01
-0.493,-0.065
-0.213,0.042
-0.182,0.054
-0.202,0.102
-0.284,0.039
-0.563,-0.095
-0.699,-0.16
-0.387,-0.032
-0.273,0.044
-0.245,0.056
-0.232,0.078
-0.225,0.047
-0.266,0.026
-0.048,0.127
0.158,0.233
-0.178,0.113
-0.209,0.065
-0.544,-0.078
-0.306,0.017
-0.298,0.019
-0.291,-0.003
-0.734,-0.189
-0.211,0.084
-0.305,0.025
-0.314,0.032
-0.183,0.107
-0.235,0.081
-0.629,-0.157
-0.725,-0.176
-0.238,0.042
-0.725,-0.196
-0.728,-0.214
-0.702,-0.175
-0.256,0.053
-0.262,0.05
-0.364,0.005
-0.244,0.071
-0.242,0.071
-0.289,0.02
-0.232,0.027
-0.225,0.003
-0.258,0.007
-0.276,0.066
-0.356,0.036
-0.299,0.023
-0.625,-0.126
-0.162,0.049
-0.721,-0.181
-0.728,-0.172
-0.586,-0.116
-0.587,-0.1
-0.404,-0.037
-0.243,0.077
-0.249,0.05
-0.665,-0.158
-0.612,-0.153
-0.264,0.043
-0.287,0.033
-0.382,-0.004
-0.324,0.031
-0.408,-0.009
-0.223,0.085
-0.246,0.055
-0.242,0.06
-0.324,0.022
-0.148,0.101
-0.181,0.082
-0.575,-0.129
-0.688,-0.199
-0.414,-0.008
-0.307,0.04
-0.295,0.039
-0.338,0.003
-0.738,-0.194
-0.731,-0.241
-0.667,-0.15
-0.628,-0.131
-0.254,0.09
-0.239,0.077
-0.263,0.041
-0.239,0.014
-0.252,0.048
-0.262,0.009
-0.241,0.072
-0.612,-0.154
-0.201,0.064
-0.282,0.059
-0.462,-0.055
-0.366,0.01
-0.729,-0.182
-0.291,0.062
-0.378,0.003
-0.404,-0.01
-0.5,-0.054
-0.199,0.09
-0.184,0.058
-0.177,0.056
-0.537,-0.096
-0.596,-0.118
-0.471,-0.061
-0.673,-0.143
-0.412,-0.056
-0.403,-0.012
-0.677,-0.148
-0.667,-0.156
-0.632,-0.15
-0.632,-0.124
-0.448,-0.001
-0.345,0.023
-0.265,0.06
-0.221,0.082
-0.243,0.055
-0.287,0.05
-0.709,-0.193
-0.241,0.038
-0.245,0.04
-0.51,-0.083
-0.736,-0.164
-0.348,0.009
-0.506,-0.03
-0.599,-0.104
-0.232,0.038
-0.633,-0.121
-0.433,-0.024
-0.684,-0.168
-0.545,-0.062
-0.606,-0.104
-0.693,-0.171
-0.289,0.06
-0.256,0.051
-0.283,0.036
-0.656,-0.145
-0.527,-0.08
-0.336,0.008
-0.317,0.038
-0.738,-0.188
-0.295,0.032
-0.364,-0.052
-0.307,0.036
-0.289,0.015
-0.428,-0.02
-0.656,-0.148
-0.212,0.024
-0.588,-0.193
-0.704,-0.135
-0.323,0.028
-0.252,0.038
-0.224,0.056
-0.298,0.032
-0.592,-0.153
-0.358,-0.007
-0.666,-0.134
-0.734,-0.208
-0.715,-0.183
-0.232,0.063
-0.207,0.055
-0.177,0.11
-0.218,0.089
-0.22,0.07
-0.363,-0.004
-0.295,0.042
-0.227,0.079
-0.744,-0.259
-0.748,-0.205
-0.707,-0.177
-0.296,-0.002
-0.278,0.007
-0.327,0.018
-0.382,0.007
-0.184,0.101
-0.36,0.016
-0.683,-0.269
-0.512,-0.143
-0.196,0.103
-0.571,-0.113
-0.669,-0.151
-0.296,0.038
-0.241,0.043
-0.323,0.037
-0.394,-0.038
-0.738,-0.194
-0.72,-0.194
-0.604,-0.088
-0.704,-0.177
-0.423,-0.046
-0.401,-0.005
-0.351,0.005
-0.22,0.07
-0.676,-0.137
-0.481,-0.066
-0.727,-0.164
-0.7,-0.156
-0.516,-0.145
-0.48,-0.099
-0.603,-0.148
-0.657,-0.145
-0.263,0.071
-0.272,0.069
-0.285,0.053
-0.491,-0.056
-0.76,-0.216
-0.733,-0.195
-0.656,-0.146
